tahun_keluaran,nama_laptop,cpu,ram_gb,storage_gb,gpu,ukuran_layar_inch,resolusi_lebar,resolusi_tinggi,tipe_panel,kapasitas_baterai_wh,sistem_operasi,fitur_keamanan,harga_idr
2018,Dell XPS 73,Intel Core i7-1165G7,8,256,Intel UHD Graphics,15.6,1366,768,TN,60,Windows 10 Home,Kensington Lock,6400000
2025,Apple MacBook Air 79,Apple M4 10-Core,32,1024,Apple M4 10-Core GPU,13.6,2880,1800,IPS Retina,51,macOS,Touch ID,38600000
2026,Apple MacBook Air 50,Apple M4 10-Core,24,512,Apple M4 10-Core GPU,15.6,1366,768,Liquid Retina XDR,83,macOS,Touch ID Apple T2,29300000
2023,Asus Zenbook 86,Intel Core i5-1240P,32,512,Intel Arc Graphics,13.3,1366,768,IPS,56,Windows 10 Home,Kensington Lock,15300000
2021,HP Spectre 38,AMD Ryzen 7 5800H,16,1024,NVIDIA GTX 1650,16.1,2560,1600,TN,85,Windows 11 Pro,Fingerprint,13800000
2019,MSI Stealth 56,AMD Ryzen 3 3200U,16,256,Intel UHD Graphics,14.2,1366,768,TN,56,Windows 11 Home,IR Camera TPM 2.0,8000000
2021,Lenovo ThinkPad 28,Intel Core i7-1165G7,8,256,Intel UHD Graphics,16.1,1366,768,IPS,90,Windows 11 Home,Fingerprint,6800000
2026,Apple MacBook Air 22,Apple M3 8-Core,32,512,Apple M3 8-Core GPU,13.6,1366,768,IPS Retina,60,macOS,Touch ID,30400000
2024,HP Spectre 47,AMD Ryzen 9 8945HS,32,1024,Intel Arc Graphics,14.0,1366,768,IPS 144Hz,48,Windows 11 Home,Firmware TPM,16900000
2026,Asus ROG Zephyrus 18,Snapdragon X Elite X1E-78-100,64,2048,AMD Radeon 880M,15.6,1920,1080,OLED 120Hz,60,Windows 10 Home,Firmware TPM,29900000
2019,MSI Cyborg 62,Intel Core i5-1035G1,16,1024,Intel UHD Graphics,13.3,3024,1964,IPS 144Hz,61,Windows 10 Home,Firmware TPM,9900000
2026,HP Envy 37,Intel Core i9-16900HX,32,1024,AMD Radeon 880M,16.0,2560,1600,IPS 165Hz,74,Windows 11 Pro,Privacy Shutter,17500000
2019,Asus TUF Gaming 90,Intel Core i3-8130U,16,256,NVIDIA RTX 3050,13.6,1366,768,IPS,57,Windows 11 Pro,Kensington Lock,14700000
2023,HP Victus 67,AMD Ryzen 7 7840HS,32,512,NVIDIA RTX 4060,16.0,1920,1080,OLED,61,Windows 11 Pro,Privacy Shutter,31100000
2019,MSI Cyborg 45,Intel Core i5-1035G1,16,512,Intel Iris Xe,16.0,2880,1800,IPS 144Hz,71,Windows 11 Home,Firmware TPM,8900000
2022,Apple MacBook Air 22,Apple M2 8-Core,8,512,Apple M2 8-Core GPU,16.1,3024,1964,Liquid Retina,63,macOS,Touch ID Apple T2,11100000
2025,Dell Alienware 82,Intel Core Ultra 7 258V,64,512,NVIDIA RTX 4070,16.1,2880,1800,OLED 120Hz,78,Windows 10 Home,Kensington Lock,44300000
2020,Asus ROG Zephyrus 57,Intel Core i5-1035G1,16,256,Intel UHD Graphics,16.1,2560,1600,IPS,90,Windows 10 Home,Privacy Shutter,9400000
2020,Lenovo Yoga 33,Intel Core i5-1035G1,16,512,NVIDIA GTX 1650,16.1,1920,1200,IPS 144Hz,70,Windows 11 Home,Kensington Lock,13800000
2019,Acer Aspire 71,AMD Ryzen 3 3200U,8,512,Intel Iris Xe,13.3,2560,1600,TN,47,Windows 10 Home,Fingerprint,6600000
2022,Apple MacBook Air 46,Apple M4 10-Core,32,1024,Apple M4 10-Core GPU,16.1,1920,1200,Liquid Retina XDR,89,macOS,Touch ID Apple T2,27200000
2022,Lenovo Legion 15,AMD Ryzen 5 7520U,16,1024,NVIDIA RTX 3050,14.2,1920,1080,IPS,71,Windows 10 Home,Firmware TPM,14600000
2024,Asus Zenbook 57,AMD Ryzen 9 8945HS,16,1024,NVIDIA RTX 4060,16.0,2880,1800,IPS,74,Windows 11 Home,Kensington Lock,26200000
2024,HP Spectre 48,Intel Core i7-13700H,16,1024,NVIDIA RTX 4060,15.6,1920,1200,IPS 144Hz,91,Windows 11 Pro,Fingerprint,27600000
2018,HP Envy 37,AMD Ryzen 5 4500U,16,512,NVIDIA GTX 1650,14.2,2880,1800,IPS,48,Windows 11 Home,Firmware TPM,13900000
2020,MSI Modern 47,Intel Core i7-1165G7,4,256,AMD Radeon Graphics,16.1,1920,1080,TN,67,Windows 11 Pro,Firmware TPM,5100000
2018,Lenovo ThinkPad 89,AMD Ryzen 3 3200U,16,1024,Intel Iris Xe,16.0,2560,1600,IPS 144Hz,79,Windows 10 Home,IR Camera TPM 2.0,8900000
2021,Lenovo IdeaPad Slim 24,Intel Core i5-1035G1,16,1024,NVIDIA GTX 1650,15.6,1366,768,TN,70,Windows 11 Home,Fingerprint,15000000
2025,MSI Katana 67,Snapdragon X Elite X1E-78-100,64,1024,AMD Radeon 880M,16.1,2560,1600,IPS 165Hz,85,Windows 11 Pro,Firmware TPM,24800000
2021,Apple MacBook Pro 77,Apple M2 8-Core,24,512,Apple M2 8-Core GPU,13.3,1920,1080,Liquid Retina XDR,53,macOS,Touch ID Apple T2,14900000
2023,Dell Inspiron 28,AMD Ryzen 5 7520U,32,512,NVIDIA RTX 4060,13.3,2560,1600,IPS 144Hz,61,Windows 10 Home,Fingerprint,29000000
2025,Acer Aspire 37,Snapdragon X 2nd Gen,64,512,NVIDIA RTX 4070,14.2,1920,1200,Mini LED 240Hz,35,Windows 11 Home,IR Camera TPM 2.0,41900000
2024,Dell Vostro 73,AMD Ryzen 5 7520U,16,512,NVIDIA RTX 3050,16.0,2560,1600,OLED,98,Windows 10 Home,Privacy Shutter,21400000
2025,Lenovo IdeaPad Slim 61,Intel Core Ultra 7 258V,16,2048,NVIDIA RTX 4060,16.1,1920,1080,OLED 120Hz,84,Windows 11 Pro,Firmware TPM,26500000
2023,Lenovo ThinkPad 52,Intel Core Ultra 7 155H,16,1024,NVIDIA RTX 4070,14.2,3024,1964,IPS,36,Windows 11 Home,IR Camera TPM 2.0,28200000
2023,Lenovo IdeaPad Slim 94,Intel Core i7-13700H,8,512,NVIDIA RTX 4050,13.6,2560,1600,IPS 144Hz,43,Windows 10 Home,Kensington Lock,9700000
2019,Dell Vostro 70,Intel Core i7-1165G7,4,1024,NVIDIA RTX 3050,16.0,1920,1080,IPS 144Hz,62,Windows 11 Pro,Privacy Shutter,10200000
2018,HP OmniBook 97,AMD Ryzen 7 5800H,4,256,NVIDIA RTX 3050,16.1,1920,1080,IPS 144Hz,95,Windows 11 Home,IR Camera TPM 2.0,8800000
2022,Apple MacBook Air 83,Apple M4 10-Core,32,1024,Apple M4 10-Core GPU,14.0,2880,1800,Liquid Retina,39,macOS,Touch ID,36800000
2024,Apple MacBook Pro 24,Apple M4 10-Core,32,1024,Apple M4 10-Core GPU,13.6,1920,1080,Liquid Retina,62,macOS,Touch ID Apple T2,37700000
2026,Apple MacBook Pro 70,Apple M4 10-Core,24,512,Apple M4 10-Core GPU,16.1,1366,768,Liquid Retina XDR,70,macOS,Touch ID Apple T2,31100000
2025,Dell Alienware 54,AMD Ryzen 7 9840U,16,1024,AMD Radeon 880M,16.1,1920,1200,Mini LED 240Hz,71,Windows 10 Home,IR Camera TPM 2.0,17300000
2022,Dell Inspiron 77,Intel Core i7-13700H,32,1024,NVIDIA RTX 3050,16.0,3024,1964,IPS 144Hz,85,Windows 10 Home,Kensington Lock,21500000
2025,Apple MacBook Air 22,Apple M3 8-Core,16,512,Apple M3 8-Core GPU,16.0,1920,1200,IPS Retina,92,macOS,Touch ID Apple T2,32800000
2023,Acer Nitro 56,Intel Core Ultra 7 155H,16,1024,Intel Arc Graphics,16.0,1920,1200,IPS,67,Windows 11 Pro,IR Camera TPM 2.0,11300000
2026,Apple MacBook Air 35,Apple M3 8-Core,24,1024,Apple M3 8-Core GPU,15.6,2880,1800,Liquid Retina XDR,88,macOS,Touch ID,31800000
2021,HP Victus 57,Intel Core i3-8130U,16,1024,Intel Iris Xe,13.3,2880,1800,IPS,38,Windows 10 Home,Privacy Shutter,10400000
2020,MSI Stealth 24,Intel Core i7-1165G7,8,512,NVIDIA GTX 1650,13.6,1920,1200,IPS,38,Windows 10 Home,Firmware TPM,15200000
2025,Asus Vivobook 62,Snapdragon X 2nd Gen,64,2048,Intel Arc Graphics 140V,13.6,1920,1200,OLED 120Hz,71,Windows 11 Home,Kensington Lock,28600000
2019,Dell Alienware 88,Intel Core i5-1035G1,16,512,NVIDIA GTX 1650,14.0,2560,1600,IPS,72,Windows 11 Pro,Firmware TPM,13300000
2018,Dell Inspiron 37,Intel Core i7-1165G7,16,256,Intel Iris Xe,13.6,1366,768,TN,70,Windows 11 Pro,Fingerprint,7200000
2018,Acer Predator 99,Intel Core i7-1165G7,4,256,AMD Radeon Graphics,14.0,1366,768,IPS 144Hz,64,Windows 11 Pro,IR Camera TPM 2.0,5300000
2021,HP OmniBook 95,Intel Core i3-8130U,16,256,Intel Iris Xe,16.1,1366,768,IPS,64,Windows 10 Home,IR Camera TPM 2.0,8800000
2020,Apple MacBook Pro 87,Intel Core i5-8210Y,16,512,Intel UHD Graphics,14.0,1920,1200,Liquid Retina,60,macOS,Touch ID Apple T2,13700000
2025,Acer Aspire 87,AMD Ryzen 7 9840U,64,1024,Intel Arc Graphics 140V,13.6,2880,1800,OLED 120Hz,71,Windows 10 Home,IR Camera TPM 2.0,27900000
2022,Dell Inspiron 33,AMD Ryzen 9 8945HS,16,1024,Intel Arc Graphics,16.0,1366,768,OLED 120Hz,86,Windows 11 Home,Firmware TPM,15100000
2024,HP Envy 96,Intel Core Ultra 7 155H,16,1024,AMD Radeon Graphics,16.1,1366,768,OLED 120Hz,90,Windows 10 Home,Fingerprint,15700000
2023,HP Envy 25,Intel Core i5-1240P,32,1024,NVIDIA RTX 3050,13.6,1920,1200,IPS,68,Windows 11 Home,Firmware TPM,22200000
2025,MSI Stealth 17,Snapdragon X 2nd Gen,16,1024,NVIDIA RTX 4060,14.2,1366,768,IPS 165Hz,42,Windows 10 Home,Privacy Shutter,32100000
2021,MSI Cyborg 50,AMD Ryzen 5 4500U,8,256,Intel Iris Xe,14.2,3024,1964,TN,42,Windows 11 Pro,Kensington Lock,8400000
2020,Acer Nitro 76,AMD Ryzen 3 3200U,8,512,Intel Iris Xe,15.6,2560,1600,IPS,64,Windows 11 Pro,Privacy Shutter,6900000
2026,MSI Cyborg 19,AMD Ryzen 7 9840U,64,1024,Intel Arc Graphics 140V,16.0,2880,1800,Mini LED 240Hz,74,Windows 11 Home,IR Camera TPM 2.0,30700000
2025,Apple MacBook Air 68,Apple M3 8-Core,32,512,Apple M3 8-Core GPU,14.0,3024,1964,Liquid Retina,47,macOS,Touch ID Apple T2,32700000
2021,Apple MacBook Pro 16,Apple M3 8-Core,32,512,Apple M3 8-Core GPU,16.0,1920,1080,Liquid Retina XDR,96,macOS,Touch ID Apple T2,31800000
2026,Dell XPS 23,Snapdragon X 2nd Gen,32,512,NVIDIA RTX 5070,14.2,1366,768,OLED 120Hz,44,Windows 11 Home,Kensington Lock,35800000
2024,MSI Modern 53,AMD Ryzen 5 7520U,16,1024,NVIDIA RTX 4070,15.6,1920,1080,IPS,59,Windows 11 Pro,Firmware TPM,31700000
2022,Lenovo IdeaPad Slim 66,AMD Ryzen 5 7520U,8,1024,Intel Iris Xe,14.0,1920,1200,IPS,38,Windows 10 Home,Kensington Lock,9200000
2023,Acer Swift 42,AMD Ryzen 7 7840HS,32,512,Intel Arc Graphics,13.3,2560,1600,IPS 144Hz,74,Windows 11 Pro,IR Camera TPM 2.0,15600000
2021,Acer Swift 40,AMD Ryzen 3 3200U,8,1024,Intel UHD Graphics,14.0,1920,1080,IPS,69,Windows 11 Home,Privacy Shutter,8000000
2025,HP OmniBook 49,AMD Ryzen 7 9840U,32,1024,AMD Radeon 880M,16.1,1366,768,Mini LED 240Hz,85,Windows 11 Pro,IR Camera TPM 2.0,20000000
2023,Dell XPS 48,Intel Core Ultra 7 155H,8,512,NVIDIA RTX 4050,16.1,1920,1080,OLED 120Hz,73,Windows 10 Home,IR Camera TPM 2.0,14500000
2023,Lenovo Yoga 90,AMD Ryzen 9 8945HS,8,512,AMD Radeon Graphics,13.3,1920,1200,OLED 120Hz,72,Windows 11 Home,Fingerprint,11000000
2022,HP Spectre 33,AMD Ryzen 7 7840HS,16,1024,NVIDIA RTX 4070,14.0,1920,1200,IPS 144Hz,65,Windows 10 Home,Fingerprint,25800000
2019,Acer Aspire 29,AMD Ryzen 5 4500U,8,256,NVIDIA GTX 1650,14.0,1366,768,TN,69,Windows 10 Home,IR Camera TPM 2.0,11200000
2022,Dell Alienware 92,AMD Ryzen 9 8945HS,8,1024,Intel Iris Xe,15.6,3024,1964,OLED,69,Windows 11 Home,Kensington Lock,12000000
2025,MSI Katana 94,Intel Core i9-16900HX,16,512,Qualcomm Adreno,13.3,1920,1080,Mini LED 240Hz,41,Windows 11 Home,Kensington Lock,16000000
2024,Acer Nitro 96,AMD Ryzen 5 7520U,32,512,NVIDIA RTX 3050,16.1,2880,1800,IPS,86,Windows 11 Pro,Firmware TPM,21500000
2022,Asus ROG Zephyrus 38,Intel Core i7-13700H,16,512,NVIDIA RTX 4060,15.6,1920,1200,OLED,96,Windows 11 Home,IR Camera TPM 2.0,22900000
2021,Asus TUF Gaming 22,AMD Ryzen 7 5800H,16,1024,Intel UHD Graphics,16.1,1920,1080,TN,76,Windows 11 Pro,Fingerprint,10100000
2021,Asus Zenbook 86,Intel Core i7-1165G7,4,1024,Intel UHD Graphics,16.1,1920,1080,IPS,64,Windows 10 Home,Fingerprint,8000000
2022,Apple MacBook Air 25,Apple M2 8-Core,24,256,Apple M2 8-Core GPU,15.6,1366,768,IPS Retina,75,macOS,Touch ID,14600000
2018,Lenovo ThinkPad 78,AMD Ryzen 3 3200U,8,512,NVIDIA RTX 3050,13.3,2880,1800,IPS 144Hz,63,Windows 10 Home,Kensington Lock,11200000
2018,MSI Katana 69,Intel Core i3-8130U,8,512,NVIDIA GTX 1650,13.3,3024,1964,IPS 144Hz,66,Windows 11 Pro,Kensington Lock,13000000
2019,Asus ROG Zephyrus 88,Intel Core i5-1035G1,8,1024,NVIDIA RTX 3050,16.0,2560,1600,IPS 144Hz,75,Windows 10 Home,Kensington Lock,13300000
2022,Acer Predator 23,AMD Ryzen 9 8945HS,32,512,NVIDIA RTX 3050,13.6,1920,1200,OLED 120Hz,61,Windows 11 Pro,Kensington Lock,24900000
2024,MSI Modern 51,AMD Ryzen 9 8945HS,16,1024,Intel Arc Graphics,13.3,1366,768,OLED 120Hz,40,Windows 11 Home,Privacy Shutter,14900000
2019,MSI Katana 27,AMD Ryzen 5 4500U,16,1024,AMD Radeon Graphics,13.3,1920,1200,IPS 144Hz,61,Windows 11 Pro,Kensington Lock,10500000
2024,Apple MacBook Air 47,Apple M2 8-Core,16,256,Apple M2 8-Core GPU,16.0,1920,1080,Liquid Retina,85,macOS,Touch ID Apple T2,13700000
2026,HP Pavilion 46,Snapdragon X Elite X1E-78-100,64,2048,NVIDIA RTX 4070,16.0,1366,768,IPS 165Hz,90,Windows 11 Pro,Fingerprint,46500000
2022,Asus Zenbook 45,Intel Core Ultra 7 155H,16,512,Intel Arc Graphics,15.6,2560,1600,IPS 144Hz,97,Windows 11 Pro,Privacy Shutter,9800000
2020,MSI Modern 22,Intel Core i5-1035G1,8,512,NVIDIA GTX 1650,13.6,1920,1200,IPS,58,Windows 11 Pro,Firmware TPM,13200000
2019,Asus Zenbook 31,AMD Ryzen 7 5800H,4,512,NVIDIA GTX 1650,14.2,2880,1800,IPS 144Hz,66,Windows 11 Pro,Kensington Lock,10600000
2022,Lenovo IdeaPad Slim 55,Intel Core Ultra 7 155H,32,1024,NVIDIA RTX 4050,13.3,2560,1600,OLED,49,Windows 11 Home,Kensington Lock,19100000
2018,Lenovo Legion 38,Intel Core i7-1165G7,8,256,Intel UHD Graphics,16.0,1920,1080,IPS,82,Windows 10 Home,Privacy Shutter,5200000
2024,Dell Vostro 75,Intel Core i5-1240P,16,512,NVIDIA RTX 3050,14.2,1920,1200,IPS,39,Windows 11 Pro,Privacy Shutter,17200000
2024,MSI Stealth 48,Intel Core i5-1240P,16,512,NVIDIA RTX 4070,16.1,1920,1200,OLED 120Hz,99,Windows 10 Home,IR Camera TPM 2.0,25900000
2019,Lenovo ThinkPad 86,Intel Core i3-8130U,8,512,AMD Radeon Graphics,14.0,1366,768,TN,45,Windows 11 Home,Firmware TPM,6900000
2019,Dell Vostro 55,Intel Core i5-1035G1,4,256,AMD Radeon Graphics,13.6,1920,1080,TN,73,Windows 11 Home,Fingerprint,6100000
2019,Lenovo ThinkPad 70,AMD Ryzen 3 3200U,16,1024,NVIDIA RTX 3050,16.1,1920,1200,IPS,95,Windows 11 Pro,Firmware TPM,13200000
2019,Acer Predator 91,AMD Ryzen 5 4500U,4,512,NVIDIA RTX 3050,14.0,2560,1600,TN,64,Windows 11 Home,Privacy Shutter,8100000
2023,Apple MacBook Pro 20,Apple M4 10-Core,32,512,Apple M4 10-Core GPU,15.6,3024,1964,Liquid Retina XDR,90,macOS,Touch ID,28700000
2021,HP OmniBook 71,Intel Core i3-8130U,8,256,AMD Radeon Graphics,13.3,3024,1964,IPS 144Hz,67,Windows 11 Pro,Fingerprint,7000000
2018,Lenovo ThinkPad 67,AMD Ryzen 5 4500U,4,512,AMD Radeon Graphics,14.2,1920,1200,IPS,61,Windows 11 Pro,Firmware TPM,5700000
2018,Apple MacBook Pro 19,Apple M1 8-Core,16,256,Apple M1 7-Core GPU,14.0,1920,1080,IPS Retina,73,macOS,Touch ID Apple T2,10500000
2020,HP Envy 94,Intel Core i5-1035G1,16,1024,Intel UHD Graphics,15.6,3024,1964,IPS,79,Windows 11 Pro,IR Camera TPM 2.0,10900000
2023,Apple MacBook Air 96,Apple M4 10-Core,32,1024,Apple M4 10-Core GPU,14.0,1920,1200,Liquid Retina XDR,36,macOS,Touch ID,33000000
2021,HP Spectre 35,Intel Core i5-1035G1,4,512,Intel UHD Graphics,16.1,3024,1964,IPS 144Hz,89,Windows 10 Home,Fingerprint,7900000
2026,Asus ROG Zephyrus 90,Snapdragon X Elite X1E-78-100,16,512,AMD Radeon 880M,16.1,1920,1080,IPS 165Hz,94,Windows 10 Home,Firmware TPM,13600000
2025,Asus TUF Gaming 57,Snapdragon X Elite X1E-78-100,64,1024,NVIDIA RTX 5070,13.6,1920,1080,Mini LED 240Hz,69,Windows 11 Pro,Fingerprint,43300000
2021,HP OmniBook 67,AMD Ryzen 3 3200U,16,1024,NVIDIA GTX 1650,16.1,2880,1800,TN,67,Windows 11 Home,Privacy Shutter,15200000
2022,Asus TUF Gaming 58,AMD Ryzen 9 8945HS,32,512,AMD Radeon Graphics,16.1,1920,1200,IPS,65,Windows 11 Pro,Kensington Lock,14600000
2026,Lenovo ThinkPad 22,AMD Ryzen 7 9840U,16,1024,Intel Arc Graphics 140V,15.6,1920,1080,Mini LED 240Hz,78,Windows 10 Home,IR Camera TPM 2.0,16600000
2023,Lenovo IdeaPad Slim 51,Intel Core i7-13700H,8,512,AMD Radeon Graphics,16.0,3024,1964,OLED 120Hz,63,Windows 10 Home,Privacy Shutter,13200000
2018,Asus Vivobook 43,AMD Ryzen 5 4500U,16,1024,NVIDIA RTX 3050,13.3,1920,1080,IPS,53,Windows 10 Home,Fingerprint,12600000
2018,Lenovo ThinkPad 92,Intel Core i3-8130U,4,512,NVIDIA RTX 3050,13.3,2880,1800,IPS 144Hz,75,Windows 11 Pro,IR Camera TPM 2.0,10200000
2020,HP Spectre 11,Intel Core i5-1035G1,16,512,Intel Iris Xe,16.0,2880,1800,IPS 144Hz,60,Windows 11 Pro,Privacy Shutter,9200000
2019,Dell Inspiron 60,AMD Ryzen 7 5800H,8,512,AMD Radeon Graphics,13.3,1366,768,IPS 144Hz,57,Windows 11 Home,Kensington Lock,6600000
2021,MSI Modern 85,Intel Core i5-1035G1,4,512,NVIDIA RTX 3050,16.1,1920,1080,IPS,96,Windows 11 Pro,Privacy Shutter,14200000
2025,MSI Stealth 91,Intel Core Ultra 7 258V,64,1024,Intel Arc Graphics 140V,13.6,1920,1080,Mini LED 240Hz,37,Windows 10 Home,Fingerprint,27100000
2022,Dell Alienware 80,Intel Core i5-1240P,32,512,AMD Radeon Graphics,16.1,3024,1964,OLED,58,Windows 11 Home,Privacy Shutter,17600000
2019,Apple MacBook Pro 66,Intel Core i7-9750H,16,256,Intel UHD Graphics,13.6,3024,1964,Liquid Retina XDR,66,macOS,Touch ID Apple T2,12300000
2026,HP Pavilion 65,Snapdragon X 2nd Gen,16,2048,Qualcomm Adreno,13.3,1920,1200,Mini LED 240Hz,40,Windows 10 Home,IR Camera TPM 2.0,19800000
2022,Acer Predator 32,Intel Core Ultra 7 155H,16,512,NVIDIA RTX 4060,15.6,1920,1200,OLED,82,Windows 11 Pro,IR Camera TPM 2.0,30800000
2024,HP OmniBook 97,Intel Core i7-13700H,32,1024,Intel Iris Xe,13.3,3024,1964,IPS 144Hz,50,Windows 10 Home,Kensington Lock,16400000
2023,Acer Aspire 88,Intel Core Ultra 7 155H,16,1024,NVIDIA RTX 4070,15.6,2880,1800,IPS,63,Windows 10 Home,IR Camera TPM 2.0,26000000
2023,MSI Katana 42,AMD Ryzen 9 8945HS,8,1024,NVIDIA RTX 4050,15.6,1920,1200,OLED 120Hz,62,Windows 10 Home,Kensington Lock,13600000
2025,Lenovo Legion 99,Intel Core Ultra 7 258V,16,512,NVIDIA RTX 4060,16.0,1366,768,OLED 120Hz,83,Windows 11 Home,Fingerprint,35600000
2023,MSI Modern 81,Intel Core Ultra 7 155H,8,512,NVIDIA RTX 4070,15.6,1366,768,OLED,69,Windows 11 Pro,Privacy Shutter,22700000
2025,Asus ROG Zephyrus 81,Snapdragon X Elite X1E-78-100,64,512,NVIDIA RTX 4070,13.3,2560,1600,OLED 120Hz,54,Windows 11 Pro,Privacy Shutter,44600000
2024,Apple MacBook Air 27,Apple M2 8-Core,32,512,Apple M2 8-Core GPU,16.0,1920,1200,Liquid Retina XDR,88,macOS,Touch ID Apple T2,19200000
2026,MSI Cyborg 27,Intel Core Ultra 7 258V,16,2048,AMD Radeon 880M,13.6,1920,1200,Mini LED 240Hz,45,Windows 11 Home,Firmware TPM,19800000
2023,Dell XPS 21,AMD Ryzen 9 8945HS,32,1024,Intel Arc Graphics,15.6,1366,768,OLED,89,Windows 11 Home,Fingerprint,20500000
2020,Dell Vostro 32,AMD Ryzen 7 5800H,16,512,NVIDIA RTX 3050,16.1,1366,768,TN,56,Windows 11 Pro,Firmware TPM,13600000
2022,MSI Cyborg 84,AMD Ryzen 9 8945HS,8,1024,NVIDIA RTX 4060,16.0,2560,1600,OLED,74,Windows 11 Home,Firmware TPM,26300000
2022,Acer Aspire 99,AMD Ryzen 5 7520U,16,1024,NVIDIA RTX 3050,14.0,1920,1080,IPS 144Hz,73,Windows 10 Home,Fingerprint,16600000
2023,MSI Katana 62,AMD Ryzen 7 7840HS,32,512,AMD Radeon Graphics,14.2,1920,1200,IPS 144Hz,42,Windows 10 Home,Privacy Shutter,15200000
2021,Lenovo IdeaPad Slim 17,AMD Ryzen 5 4500U,8,256,Intel Iris Xe,15.6,1920,1080,IPS,75,Windows 11 Home,IR Camera TPM 2.0,8300000
2020,Acer Predator 74,Intel Core i3-8130U,4,512,NVIDIA RTX 3050,13.6,2880,1800,IPS,48,Windows 11 Home,IR Camera TPM 2.0,10100000
2018,HP Spectre 87,Intel Core i7-1165G7,16,256,Intel UHD Graphics,13.6,3024,1964,IPS,51,Windows 11 Pro,IR Camera TPM 2.0,7700000
2024,HP Pavilion 62,AMD Ryzen 7 7840HS,8,1024,NVIDIA RTX 4050,13.3,2880,1800,OLED,59,Windows 10 Home,Firmware TPM,15100000
2026,HP OmniBook 98,Intel Core i9-16900HX,16,1024,Qualcomm Adreno,15.6,1920,1080,Mini LED 240Hz,78,Windows 11 Pro,Kensington Lock,16900000
2026,Acer Aspire 16,AMD Ryzen 7 9840U,32,2048,NVIDIA RTX 4060,15.6,1920,1080,OLED 120Hz,87,Windows 10 Home,Fingerprint,37100000
2020,Acer Nitro 86,AMD Ryzen 5 4500U,16,512,NVIDIA RTX 3050,14.2,1920,1200,IPS,36,Windows 11 Home,Firmware TPM,14300000
2019,Acer Nitro 99,AMD Ryzen 5 4500U,8,512,NVIDIA RTX 3050,13.6,2880,1800,IPS 144Hz,38,Windows 11 Pro,Kensington Lock,11200000
2026,MSI Stealth 29,Intel Core Ultra 7 258V,64,2048,Intel Arc Graphics 140V,13.3,1920,1200,OLED 120Hz,63,Windows 11 Pro,Fingerprint,30400000
2024,MSI Cyborg 63,AMD Ryzen 5 7520U,32,512,NVIDIA RTX 4060,15.6,2880,1800,IPS 144Hz,68,Windows 11 Pro,Firmware TPM,29700000
2025,Dell Alienware 51,Snapdragon X 2nd Gen,32,2048,Qualcomm Adreno,16.1,3024,1964,IPS 165Hz,98,Windows 10 Home,IR Camera TPM 2.0,19500000
2022,Dell Alienware 35,AMD Ryzen 7 7840HS,16,512,AMD Radeon Graphics,16.0,3024,1964,OLED,68,Windows 10 Home,Privacy Shutter,15700000
2023,Acer Nitro 82,Intel Core Ultra 7 155H,8,1024,NVIDIA RTX 3050,16.1,1920,1200,OLED,64,Windows 11 Pro,Privacy Shutter,16900000
2019,HP Spectre 94,Intel Core i5-1035G1,4,1024,AMD Radeon Graphics,16.0,1920,1080,IPS 144Hz,72,Windows 11 Home,IR Camera TPM 2.0,5900000
